Read, קרא
apps/frappe/frappe/public/js/frappe/social/components/PostSidebar.vue, [MISSING_TRANSLATION]
<div><pre><code>{{ doc.name }} Delivered</code></pre></div>", [MISSING_TRANSLATION]
apps/frappe/frappe/desk/search.py, [MISSING_TRANSLATION]
<br>, [MISSING_TRANSLATION]
Note: If you're sending to multiple recipients, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/field_group.js, [MISSING_TRANSLATION]
apps/frappe/frappe/integrations/doctype/google_contacts/google_contacts.py, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/emails/print_link.html, [MISSING_TRANSLATION]
DocType: OAuth Bearer Token, [MISSING_TRANSLATION]
apps/frappe/frappe/integrations/doctype/google_calendar/google_calendar.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/dom.js, [MISSING_TRANSLATION]
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/pages/integrations/payment-failed.html, [MISSING_TRANSLATION]
apps/frappe/frappe/www/update-password.html, [MISSING_TRANSLATION]
DocType: Role, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/templates/form_sidebar.html, [MISSING_TRANSLATION]
DocType: Blog Category, [MISSING_TRANSLATION]
apps/frappe/frappe/model/mapper.py, [MISSING_TRANSLATION]
DocType: Role Permission for Page and Report, [MISSING_TRANSLATION]
apps/frappe/frappe/website/doctype/website_settings/website_settings.js, [MISSING_TRANSLATION]
DocType: Dashboard Chart Source, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/grid_row_form.js, [MISSING_TRANSLATION]
DocType: Page, [MISSING_TRANSLATION]
apps/frappe/frappe/chat/doctype/chat_room/chat_room.py, [MISSING_TRANSLATION]
DocType: Newsletter Email Group, [MISSING_TRANSLATION]
apps/frappe/frappe/integrations/doctype/braintree_settings/braintree_settings.py, [MISSING_TRANSLATION]
apps/frappe/frappe/www/me.html, [MISSING_TRANSLATION]
DocType: User Email, [MISSING_TRANSLATION]
apps/frappe/frappe/integrations/doctype/dropbox_settings/dropbox_settings.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/toolbar/about.js, [MISSING_TRANSLATION]
DocType: Data Export, [MISSING_TRANSLATION]
DocType: Module Def, [MISSING_TRANSLATION]
apps/frappe/frappe/integrations/doctype/razorpay_settings/razorpay_settings.py, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/page/activity/activity_row.html, [MISSING_TRANSLATION]
apps/frappe/frappe/social/doctype/energy_point_settings/energy_point_settings.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/list/list_sidebar_stat.html, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/group_by/group_by.js, [MISSING_TRANSLATION]
for {0}", [MISSING_TRANSLATION]
apps/frappe/frappe/integrations/doctype/google_settings/google_settings.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/sidebar/form_sidebar.js, [MISSING_TRANSLATION]
DocType: OAuth Provider Settings, [MISSING_TRANSLATION]
DocType: Route History, [MISSING_TRANSLATION]
apps/frappe/frappe/utils/goal.py, [MISSING_TRANSLATION]
For Select, [MISSING_TRANSLATION]
apps/frappe/frappe/www/login.html, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/report/todo/todo.py, [MISSING_TRANSLATION]
DocType: Address Template, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/page/page.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/file_uploader/WebLink.vue, [MISSING_TRANSLATION]
apps/frappe/frappe/email/doctype/email_domain/email_domain.py, [MISSING_TRANSLATION]
apps/frappe/frappe/core/report/transaction_log_report/transaction_log_report.py, [MISSING_TRANSLATION]
apps/frappe/frappe/app.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/sidebar/assign_to.js, [MISSING_TRANSLATION]
DocType: Website Sidebar Item, [MISSING_TRANSLATION]
apps/frappe/frappe/social/doctype/energy_point_rule/energy_point_rule.py, [MISSING_TRANSLATION]
DocType: Website Route Redirect, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/includes/list/filters.html, [MISSING_TRANSLATION]
DocType: Prepared Report, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/views/components/Desktop.vue, [MISSING_TRANSLATION]
apps/frappe/frappe/www/qrcode.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/views/gantt/gantt_view.js, [MISSING_TRANSLATION]
DocType: Razorpay Settings, [MISSING_TRANSLATION]
DocType: Milestone, [MISSING_TRANSLATION]
apps/frappe/frappe/integrations/doctype/paypal_settings/paypal_settings.py, [MISSING_TRANSLATION]
DocType: Portal Menu Item, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/doctype/dashboard_chart/dashboard_chart.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/social/components/PostLoader.vue, [MISSING_TRANSLATION]
DocType: Patch Log, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/activity_log/activity_log.py, [MISSING_TRANSLATION]
apps/frappe/frappe/data_migration/doctype/data_migration_plan/data_migration_plan.js, [MISSING_TRANSLATION]
DocType: Blog Post, [MISSING_TRANSLATION]
DocType: Personal Data Download Request, [MISSING_TRANSLATION]
apps/frappe/frappe/core/page/background_jobs/background_jobs.py, [MISSING_TRANSLATION]
apps/frappe/frappe/www/message.html, [MISSING_TRANSLATION]
apps/frappe/frappe/automation/doctype/auto_repeat/auto_repeat.js, [MISSING_TRANSLATION]
apps/frappe/frappe/contacts/report/addresses_and_contacts/addresses_and_contacts.js, [MISSING_TRANSLATION]
apps/frappe/frappe/model/naming.py, [MISSING_TRANSLATION]
DocType: Personal Data Deletion Request, [MISSING_TRANSLATION]
DocType: Async Task, [MISSING_TRANSLATION]
apps/frappe/frappe/website/doctype/contact_us_settings/contact_us_settings.js, [MISSING_TRANSLATION]
apps/frappe/frappe/utils/csvutils.py, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/emails/auto_repeat_fail.html, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/roles_editor.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/toolbar.js, [MISSING_TRANSLATION]
apps/frappe/frappe/email/doctype/email_account/email_account_list.js, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/user_permission/user_permission.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/tags.js, [MISSING_TRANSLATION]
DocType: Chat Room User, [MISSING_TRANSLATION]
one of the following %s", [MISSING_TRANSLATION]
apps/frappe/frappe/templates/pages/integrations/razorpay_checkout.py, [MISSING_TRANSLATION]
apps/frappe/frappe/model/delete_doc.py, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/user/user.js, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/doctype/desktop_icon/desktop_icon.py, [MISSING_TRANSLATION]
DocType: Custom Role, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/file/test_file.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/messages.js, [MISSING_TRANSLATION]
DocType: Tag Link, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/emails/data_deletion_approval.html, [MISSING_TRANSLATION]
apps/frappe/frappe/integrations/doctype/slack_webhook_url/slack_webhook_url.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/model/meta.js, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/comment/comment.py, [MISSING_TRANSLATION]
apps/frappe/frappe/custom/doctype/property_setter/property_setter.js, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/data_import/log_details.html, [MISSING_TRANSLATION]
apps/frappe/frappe/utils/backups.py, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/doctype/todo/todo_list.js, [MISSING_TRANSLATION]
DocType: Milestone Tracker, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/doctype/dashboard/dashboard.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/linked_with.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/script_manager.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/quick_entry.js, [MISSING_TRANSLATION]
DocType: DocPerm, [MISSING_TRANSLATION]
apps/frappe/frappe/patches/v6_19/comment_feed_communication.py, [MISSING_TRANSLATION]
apps/frappe/frappe/utils/boilerplate.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/views/components/DeskSection.vue, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/page/user_profile/user_profile.html, [MISSING_TRANSLATION]
DocType: Data Migration Plan Mapping, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/controls/table.js, [MISSING_TRANSLATION]
DocType: Help Category, [MISSING_TRANSLATION]
apps/frappe/frappe/website/doctype/personal_data_deletion_request/personal_data_deletion_request.py, [MISSING_TRANSLATION]
apps/frappe/frappe/www/404.html, [MISSING_TRANSLATION]
DocType: Tag Category, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/templates/set_sharing.html, [MISSING_TRANSLATION]
apps/frappe/frappe/website/doctype/help_article/templates/help_article.html, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/data_import/data_import_list.js, [MISSING_TRANSLATION]
", [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/data_import_beta/data_import_beta.py, [MISSING_TRANSLATION]
<ol><li><b>field:[fieldname]</b> - By Field</li><li><b>naming_series:</b> - By Naming Series (field called naming_series must be present</li><li><b>Prompt</b> - Prompt user for a name</li><li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####</li>, [MISSING_TRANSLATION]
<li><b>format:EXAMPLE-{MM}morewords{fieldname1}-{fieldname2}-{#####}</b> - Replace all braced words (fieldnames, [MISSING_TRANSLATION]
apps/frappe/frappe/www/login.py, [MISSING_TRANSLATION]
DocType: Calendar View, [MISSING_TRANSLATION]
DocType: Communication Link, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/data_export/data_export.js, [MISSING_TRANSLATION]
For e.g. 1 USD = 100 Cent", [MISSING_TRANSLATION]
DocType: Google Contacts, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/report/report.py, [MISSING_TRANSLATION]
apps/frappe/frappe/contacts/doctype/contact/contact.js, [MISSING_TRANSLATION]
apps/frappe/frappe/data_migration/doctype/data_migration_run/data_migration_run.js, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/data_import/data_import.js, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/form/document_follow.py, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/page/backups/backups.html, [MISSING_TRANSLATION]
apps/frappe/frappe/custom/doctype/custom_script/custom_script.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/model/indicator.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/sidebar/document_follow.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/sort_selector.js, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/pages/integrations/braintree_checkout.py, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/error_snapshot/error_snapshot.html, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/doctype/global_search_settings/global_search_settings.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/controls/data.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/templates/timeline_item.html, [MISSING_TRANSLATION]
apps/frappe/frappe/core/page/background_jobs/background_jobs_outer.html, [MISSING_TRANSLATION]
DocType: Tag Doc Category, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/error_snapshot/error_snapshot.js, [MISSING_TRANSLATION]
apps/frappe/frappe/website/doctype/blog_post/blog_post_list.js, [MISSING_TRANSLATION]
DocType: Post Comment, [MISSING_TRANSLATION]
apps/frappe/frappe/website/doctype/web_form/web_form.js, [MISSING_TRANSLATION]
myfield, [MISSING_TRANSLATION]
eval:doc.myfield=='My Value', [MISSING_TRANSLATION]
eval:doc.age&gt;18", [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/error_snapshot/error_snapshot_list.js, [MISSING_TRANSLATION]
DocType: Dashboard Chart Link, [MISSING_TRANSLATION]
apps/frappe/frappe/integrations/doctype/google_drive/google_drive.js, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/emails/upcoming_events.html, [MISSING_TRANSLATION]
apps/frappe/frappe/website/doctype/web_page/web_page.py, [MISSING_TRANSLATION]
DocType: Global Search Settings, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/page/activity/activity.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/social/components/ActivitySidebar.vue, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/sidebar/attachments.js, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/pages/integrations/braintree_checkout.html, [MISSING_TRANSLATION]
DocType: Payment Gateway, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/social/pages/UserList.vue, [MISSING_TRANSLATION]
read as well as unread message from server. This may also cause the duplication\, [MISSING_TRANSLATION]
of Communication (emails).", [MISSING_TRANSLATION]
apps/frappe/frappe/geo/doctype/currency/currency.js, [MISSING_TRANSLATION]
DocType: Website Script, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/controls/base_control.js, [MISSING_TRANSLATION]
apps/frappe/frappe/modules/utils.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/social/Home.vue, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/pages/integrations/payment-cancel.html, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/views/container.js, [MISSING_TRANSLATION]
apps/frappe/frappe/utils/verified_command.py, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/deleted_document/deleted_document.py, [MISSING_TRANSLATION]
DocType: Email Rule, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/moduleview.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/grid_row.js, [MISSING_TRANSLATION]
apps/frappe/frappe/workflow/doctype/workflow/workflow_list.js, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/doctype/dashboard_chart_source/dashboard_chart_source.py, [MISSING_TRANSLATION]
DocType: Website Meta Tag, [MISSING_TRANSLATION]
DocType: Kanban Board, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/includes/integrations/stripe_checkout.js, [MISSING_TRANSLATION]
DocType: User Social Login, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/doctype/note/note_list.js, [MISSING_TRANSLATION]
<br>e.g. http://hostname//api/method/frappe.www.login.login_via_facebook", [MISSING_TRANSLATION]
apps/frappe/frappe/recorder.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/controls/select.js, [MISSING_TRANSLATION]
apps/frappe/frappe/templates/includes/contact.js, [MISSING_TRANSLATION]
Please enter a valid email address so that we can get back.", [MISSING_TRANSLATION]
DocType: Website Slideshow Item, [MISSING_TRANSLATION]
apps/frappe/frappe/integrations/doctype/oauth_client/oauth_client.py, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/doctype/todo/todo.py, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/doctype/doctype.js, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/doctype/calendar_view/calendar_view.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/web_form/web_form_list.js, [MISSING_TRANSLATION]
DocType: Session Default, [MISSING_TRANSLATION]
apps/frappe/frappe/workflow/doctype/workflow/workflow.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/controls/password.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/list/list_sidebar.js, [MISSING_TRANSLATION]
apps/frappe/frappe/email/doctype/email_queue/email_queue_list.js, [MISSING_TRANSLATION]
apps/frappe/frappe/contacts/doctype/address_template/address_template.py, [MISSING_TRANSLATION]
higher levels for field level permissions.", [MISSING_TRANSLATION]
DocType: Contact Email, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/data_import/data_import.py, [MISSING_TRANSLATION]
please enable Allow Print For {0} in Print Settings", [MISSING_TRANSLATION]
DocType: Stripe Settings, [MISSING_TRANSLATION]
apps/frappe/frappe/sessions.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/toolbar/search_header.html, [MISSING_TRANSLATION]
apps/frappe/frappe/printing/doctype/print_settings/print_settings.py, [MISSING_TRANSLATION]
(Note: For no limit leave this field empty or set 0)", [MISSING_TRANSLATION]
apps/frappe/frappe/templates/includes/blog/blog.html, [MISSING_TRANSLATION]
apps/frappe/frappe/website/doctype/personal_data_deletion_request/personal_data_deletion_request.js, [MISSING_TRANSLATION]
DocType: Has Domain, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/page/user_profile/user_profile_sidebar.html, [MISSING_TRANSLATION]
DocType: Document Follow, [MISSING_TRANSLATION]
apps/frappe/frappe/printing/doctype/print_style/print_style.py, [MISSING_TRANSLATION]
can get back to you. Thanks!", [MISSING_TRANSLATION]
DocType: Dynamic Link, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/model/create_new.js, [MISSING_TRANSLATION]
DocType: Domain, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/upload.html, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/file/file.js, [MISSING_TRANSLATION]
apps/frappe/frappe/email/doctype/email_queue/email_queue.py, [MISSING_TRANSLATION]
apps/frappe/frappe/desk/doctype/dashboard_chart/dashboard_chart.py, [MISSING_TRANSLATION]
apps/frappe/frappe/model/meta.py, [MISSING_TRANSLATION]
apps/frappe/frappe/social/doctype/energy_point_rule/energy_point_rule.js, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/ui/filters/edit_filter.html, [MISSING_TRANSLATION]
apps/frappe/frappe/integrations/utils.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/controls/date.js, [MISSING_TRANSLATION]
apps/frappe/frappe/utils/background_jobs.py, [MISSING_TRANSLATION]
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>, [MISSING_TRANSLATION]
<pre><code>{{ address_line1 }}&lt;br&gt;, [MISSING_TRANSLATION]
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}, [MISSING_TRANSLATION]
{{ city }}&lt;br&gt;, [MISSING_TRANSLATION]
{% if state %}{{ state }}&lt;br&gt;{% endif -%}, [MISSING_TRANSLATION]
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}, [MISSING_TRANSLATION]
{{ country }}&lt;br&gt;, [MISSING_TRANSLATION]
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}, [MISSING_TRANSLATION]
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}, [MISSING_TRANSLATION]
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}, [MISSING_TRANSLATION]
</code></pre>", [MISSING_TRANSLATION]
apps/frappe/frappe/templates/includes/navbar/navbar_login.html, [MISSING_TRANSLATION]
apps/frappe/frappe/automation/doctype/assignment_rule/assignment_rule.js, [MISSING_TRANSLATION]
apps/frappe/frappe/www/contact.py, [MISSING_TRANSLATION]
apps/frappe/frappe/printing/page/print_format_builder/print_format_builder_sidebar.html, [MISSING_TRANSLATION]
apps/frappe/frappe/social/doctype/energy_point_log/energy_point_log.js, [MISSING_TRANSLATION]
apps/frappe/frappe/model/utils/__init__.py, [MISSING_TRANSLATION]
apps/frappe/frappe/contacts/report/addresses_and_contacts/addresses_and_contacts.py, [MISSING_TRANSLATION]
apps/frappe/frappe/website/doctype/portal_settings/portal_settings.js, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/test_runner/test_runner.js, [MISSING_TRANSLATION]
apps/frappe/frappe/handler.py, [MISSING_TRANSLATION]
apps/frappe/frappe/automation/doctype/auto_repeat/auto_repeat_schedule.html, [MISSING_TRANSLATION]
apps/frappe/frappe/email/doctype/email_group/email_group.py, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/user_permission/user_permission_help.html, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/change_log.html, [MISSING_TRANSLATION]
apps/frappe/frappe/website/doctype/website_slideshow/website_slideshow.py, [MISSING_TRANSLATION]
apps/frappe/frappe/core/doctype/session_default_settings/session_default_settings.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/frappe/form/controls/multiselect_list.js, [MISSING_TRANSLATION]
apps/frappe/frappe/chat/__init__.py, [MISSING_TRANSLATION]
apps/frappe/frappe/public/js/integrations/razorpay.js, [MISSING_TRANSLATION]
